"Plot Title: 21235771"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 21235771, SEN S/N: 21235771)","High Range, μS/cm (LGR S/N: 21235771, SEN S/N: 21235771)","Temp, °C (LGR S/N: 21235771, SEN S/N: 21235771)","Specific Conductance, μS/cm (LGR S/N: 21235771)","Salinity, ppt (LGR S/N: 21235771)"
258,05/25/23 05:15:00 PM,28714.7,27609.9,13.59,35355.1,22.2599
259,05/25/23 05:30:00 PM,28580.7,27509.0,13.66,35168.6,22.1302
260,05/25/23 05:45:00 PM,28489.0,27430.7,13.79,34962.1,21.9866
261,05/25/23 06:00:00 PM,28399.6,27340.7,13.91,34750.1,21.8393
262,05/25/23 06:15:00 PM,28354.0,27315.3,13.92,34709.9,21.8114
263,05/25/23 06:30:00 PM,28271.3,27269.7,14.05,34547.0,21.6983
264,05/25/23 06:45:00 PM,28098.6,27131.7,14.04,34381.1,21.5832
265,05/25/23 07:00:00 PM,27886.2,26964.5,14.05,34162.3,21.4316
266,05/25/23 07:15:00 PM,27886.2,26976.1,13.64,34507.2,21.6707
267,05/25/23 07:30:00 PM,28312.7,27298.4,13.35,35156.7,22.1219
268,05/25/23 07:45:00 PM,28486.9,27415.4,13.24,35398.5,22.2902
269,05/25/23 08:00:00 PM,28616.3,27464.7,13.18,35512.2,22.3693
270,05/25/23 08:15:00 PM,28620.4,27526.1,13.13,35633.3,22.4537
271,05/25/23 08:30:00 PM,29025.2,27799.1,12.93,36155.9,22.8182
272,05/25/23 08:45:00 PM,29027.4,27773.2,12.92,36131.0,22.8008
273,05/25/23 09:00:00 PM,29488.3,28150.7,12.65,36855.3,23.3072
274,05/25/23 09:15:00 PM,30123.0,28564.9,12.26,37744.6,23.9310
275,05/25/23 09:30:00 PM,29786.2,28364.0,12.07,37652.3,23.8662
276,05/25/23 09:45:00 PM,31148.2,29196.7,11.71,39088.2,24.8773
277,05/25/23 10:00:00 PM,31093.0,29244.5,11.67,39189.6,24.9489
278,05/25/23 10:15:00 PM,31148.2,29209.6,11.68,39133.7,24.9094
279,05/25/23 10:30:00 PM,31143.6,29226.1,11.72,39117.8,24.8982
280,05/25/23 10:45:00 PM,30987.6,29101.5,11.83,38848.8,24.7083
281,05/25/23 11:00:00 PM,30830.2,29037.6,11.91,38689.4,24.5959
282,05/25/23 11:15:00 PM,31302.9,29307.1,11.66,39282.4,25.0145
283,05/25/23 11:30:00 PM,31528.4,29458.8,11.41,39724.3,25.3270
284,05/25/23 11:45:00 PM,31694.6,29536.9,11.31,39925.7,25.4696
285,05/26/23 12:00:00 AM,31575.1,29503.4,11.35,39842.0,25.4103
286,05/26/23 12:15:00 AM,31687.6,29527.6,11.33,39893.9,25.4471
287,05/26/23 12:30:00 AM,31854.8,29637.7,11.18,40188.0,25.6555
288,05/26/23 12:45:00 AM,31861.9,29664.0,11.20,40203.8,25.6667
289,05/26/23 01:00:00 AM,31854.8,29652.7,11.21,40178.8,25.6490
290,05/26/23 01:15:00 AM,31802.9,29615.3,11.25,40089.4,25.5856
291,05/26/23 01:30:00 AM,31687.6,29551.9,11.32,39936.2,25.4770
292,05/26/23 01:45:00 AM,31739.3,29559.3,11.33,39936.4,25.4772
293,05/26/23 02:00:00 AM,31358.5,29358.8,11.53,39475.3,25.1508
294,05/26/23 02:15:00 AM,31254.3,29296.1,11.61,39315.3,25.0377
295,05/26/23 02:30:00 AM,31148.2,29194.9,11.65,39142.5,24.9157
296,05/26/23 02:45:00 AM,31302.9,29259.2,11.65,39228.2,24.9762
297,05/26/23 03:00:00 AM,31088.4,29202.2,11.74,39067.2,24.8624
298,05/26/23 03:15:00 AM,31791.1,29606.0,11.36,39969.9,25.5009
299,05/26/23 03:30:00 AM,32362.7,29920.1,11.08,40667.1,25.9955
300,05/26/23 03:45:00 AM,32597.2,30098.8,10.92,41068.3,26.2807
301,05/26/23 04:00:00 AM,32604.5,30121.7,10.89,41129.5,26.3242
302,05/26/23 04:15:00 AM,32721.3,30165.7,10.80,41279.9,26.4313
303,05/26/23 04:30:00 AM,32765.2,30181.0,10.76,41341.2,26.4749
304,05/26/23 04:45:00 AM,32765.2,30265.4,10.70,41516.9,26.6001
305,05/26/23 05:00:00 AM,32765.2,30292.3,10.57,41686.4,26.7209
306,05/26/23 05:15:00 AM,32765.2,30514.7,10.49,42072.7,26.9965
307,05/26/23 05:30:00 AM,32765.2,30662.8,10.33,42442.2,27.2605
308,05/26/23 05:45:00 AM,32765.2,30664.8,10.34,42434.5,27.2550
309,05/26/23 06:00:00 AM,32765.2,30631.5,10.36,42367.9,27.2074
310,05/26/23 06:15:00 AM,32765.2,30479.7,10.49,42024.8,26.9623
311,05/26/23 06:30:00 AM,32765.2,30454.5,10.59,41887.3,26.8641
312,05/26/23 06:45:00 AM,32597.2,30070.2,10.87,41079.8,26.2888
313,05/26/23 07:00:00 AM,31798.2,29606.0,11.37,39960.2,25.4940
314,05/26/23 07:15:00 AM,31516.7,29458.8,11.57,39570.5,25.2181
315,05/26/23 07:30:00 AM,31088.4,29136.2,11.79,38932.4,24.7673
316,05/26/23 07:45:00 AM,30574.3,28856.0,11.97,38393.5,24.3874
317,05/26/23 08:00:00 AM,30372.3,28699.2,12.11,38057.8,24.1511
318,05/26/23 08:15:00 AM,30225.1,28595.3,12.16,37875.4,24.0228
319,05/26/23 08:30:00 AM,30174.0,28586.3,12.18,37845.3,24.0017
