Site Name ,ODYLIGHT-6420
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6420


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

591,29/05/2023 , 04:45:00,0,0
592,29/05/2023 , 05:00:00,1,1
593,29/05/2023 , 05:15:00,8,8
594,29/05/2023 , 05:30:00,29,29
595,29/05/2023 , 05:45:00,71,71
596,29/05/2023 , 06:00:00,142,142
597,29/05/2023 , 06:15:00,261,261
598,29/05/2023 , 06:30:00,398,398
599,29/05/2023 , 06:45:00,535,535
600,29/05/2023 , 07:00:00,306,306
601,29/05/2023 , 07:15:00,345,345
602,29/05/2023 , 07:30:00,438,438
603,29/05/2023 , 07:45:00,542,542
604,29/05/2023 , 08:00:00,592,592
605,29/05/2023 , 08:15:00,635,635
606,29/05/2023 , 08:30:00,753,753
607,29/05/2023 , 08:45:00,1058,1058
608,29/05/2023 , 09:00:00,1302,1302
609,29/05/2023 , 09:15:00,2109,2109
610,29/05/2023 , 09:30:00,2287,2287
611,29/05/2023 , 09:45:00,2550,2550
612,29/05/2023 , 10:00:00,2954,2954
613,29/05/2023 , 10:15:00,3144,3144
614,29/05/2023 , 10:30:00,3259,3259
615,29/05/2023 , 10:45:00,3319,3319
616,29/05/2023 , 11:00:00,3530,3530
